current date,sale_id,product_id,product_name,product_price
2025-05-12,1,P005,Mobile Phone Case,$15
2025-05-12,2,P001,Wireless Headphones,$100
2025-05-12,3,P001,Wireless Headphones,$100
2025-05-12,4,P006,Wireless Mouse,$30
2025-05-12,5,P006,Wireless Mouse,$30
2025-05-12,6,P003,Bluetooth Speaker,$50
2025-05-12,7,P004,USB Flash Drive,$20
2025-05-12,8,P007,Laptop Stand,$40
2025-05-12,9,P005,Mobile Phone Case,$15
2025-05-12,10,P006,Wireless Mouse,$30
2025-05-12,11,P004,USB Flash Drive,$20
2025-05-12,12,P006,Wireless Mouse,$30
2025-05-12,13,P007,Laptop Stand,$40
2025-05-12,14,P004,USB Flash Drive,$20
2025-05-12,15,P005,Mobile Phone Case,$15
2025-05-12,16,P010,External Hard Drive,$100
2025-05-12,17,P010,External Hard Drive,$100
2025-05-12,18,P004,USB Flash Drive,$20
2025-05-12,19,P009,Smartphone,$600
2025-05-12,20,P001,Wireless Headphones,$100
2025-05-12,21,P008,HDMI Cable,$15
2025-05-12,22,P007,Laptop Stand,$40
2025-05-12,23,P007,Laptop Stand,$40
2025-05-12,24,P003,Bluetooth Speaker,$50
2025-05-12,25,P007,Laptop Stand,$40
2025-05-12,26,P003,Bluetooth Speaker,$50
2025-05-12,27,P002,Laptop Backpack,$60
2025-05-12,28,P001,Wireless Headphones,$100
2025-05-12,29,P004,USB Flash Drive,$20
2025-05-12,30,P006,Wireless Mouse,$30
2025-05-12,31,P002,Laptop Backpack,$60
2025-05-12,32,P003,Bluetooth Speaker,$50
2025-05-12,33,P008,HDMI Cable,$15
2025-05-12,34,P004,USB Flash Drive,$20
2025-05-12,35,P009,Smartphone,$600
2025-05-12,36,P001,Wireless Headphones,$100
2025-05-12,37,P003,Bluetooth Speaker,$50
2025-05-12,38,P006,Wireless Mouse,$30
2025-05-12,39,P008,HDMI Cable,$15
2025-05-12,40,P004,USB Flash Drive,$20
2025-05-12,41,P009,Smartphone,$600
2025-05-12,42,P008,HDMI Cable,$15
2025-05-12,43,P006,Wireless Mouse,$30
2025-05-12,44,P005,Mobile Phone Case,$15
2025-05-12,45,P005,Mobile Phone Case,$15
2025-05-12,46,P001,Wireless Headphones,$100
2025-05-12,47,P002,Laptop Backpack,$60
2025-05-12,48,P005,Mobile Phone Case,$15
2025-05-12,49,P002,Laptop Backpack,$60
2025-05-12,50,P009,Smartphone,$600
2025-05-12,51,P002,Laptop Backpack,$60
2025-05-12,52,P001,Wireless Headphones,$100
2025-05-12,53,P006,Wireless Mouse,$30
2025-05-12,54,P008,HDMI Cable,$15
2025-05-12,55,P006,Wireless Mouse,$30
2025-05-12,56,P010,External Hard Drive,$100
2025-05-12,57,P002,Laptop Backpack,$60
2025-05-12,58,P008,HDMI Cable,$15
2025-05-12,59,P002,Laptop Backpack,$60
2025-05-12,60,P001,Wireless Headphones,$100
2025-05-12,61,P008,HDMI Cable,$15
2025-05-12,62,P008,HDMI Cable,$15
2025-05-12,63,P006,Wireless Mouse,$30
2025-05-12,64,P006,Wireless Mouse,$30
2025-05-12,65,P002,Laptop Backpack,$60
2025-05-12,66,P004,USB Flash Drive,$20
2025-05-12,67,P005,Mobile Phone Case,$15
2025-05-12,68,P001,Wireless Headphones,$100
2025-05-12,69,P010,External Hard Drive,$100
2025-05-12,70,P001,Wireless Headphones,$100
2025-05-12,71,P003,Bluetooth Speaker,$50
2025-05-12,72,P001,Wireless Headphones,$100
2025-05-12,73,P003,Bluetooth Speaker,$50
2025-05-12,74,P010,External Hard Drive,$100
2025-05-12,75,P008,HDMI Cable,$15
2025-05-12,76,P004,USB Flash Drive,$20
2025-05-12,77,P006,Wireless Mouse,$30
2025-05-12,78,P005,Mobile Phone Case,$15
2025-05-12,79,P001,Wireless Headphones,$100
2025-05-12,80,P009,Smartphone,$600
2025-05-12,81,P009,Smartphone,$600
2025-05-12,82,P010,External Hard Drive,$100
2025-05-12,83,P008,HDMI Cable,$15
2025-05-12,84,P006,Wireless Mouse,$30
2025-05-12,85,P004,USB Flash Drive,$20
2025-05-12,86,P002,Laptop Backpack,$60
2025-05-12,87,P001,Wireless Headphones,$100
2025-05-12,88,P003,Bluetooth Speaker,$50
2025-05-12,89,P003,Bluetooth Speaker,$50
2025-05-12,90,P001,Wireless Headphones,$100
2025-05-12,91,P004,USB Flash Drive,$20
2025-05-12,92,P005,Mobile Phone Case,$15
2025-05-12,93,P010,External Hard Drive,$100
2025-05-12,94,P001,Wireless Headphones,$100
2025-05-12,95,P006,Wireless Mouse,$30
2025-05-12,96,P006,Wireless Mouse,$30
2025-05-12,97,P002,Laptop Backpack,$60
2025-05-12,98,P002,Laptop Backpack,$60
2025-05-12,99,P010,External Hard Drive,$100
2025-05-12,100,P004,USB Flash Drive,$20
2025-05-12,101,P005,Mobile Phone Case,$15
2025-05-12,102,P010,External Hard Drive,$100
2025-05-12,103,P001,Wireless Headphones,$100
2025-05-12,104,P008,HDMI Cable,$15
2025-05-12,105,P003,Bluetooth Speaker,$50
2025-05-12,106,P008,HDMI Cable,$15
2025-05-12,107,P001,Wireless Headphones,$100
2025-05-12,108,P001,Wireless Headphones,$100
2025-05-12,109,P004,USB Flash Drive,$20
2025-05-12,110,P001,Wireless Headphones,$100
2025-05-12,111,P003,Bluetooth Speaker,$50
2025-05-12,112,P004,USB Flash Drive,$20
2025-05-12,113,P004,USB Flash Drive,$20
2025-05-12,114,P003,Bluetooth Speaker,$50
2025-05-12,115,P003,Bluetooth Speaker,$50
2025-05-12,116,P004,USB Flash Drive,$20
2025-05-12,117,P008,HDMI Cable,$15
2025-05-12,118,P008,HDMI Cable,$15
2025-05-12,119,P009,Smartphone,$600
2025-05-12,120,P001,Wireless Headphones,$100
2025-05-12,121,P006,Wireless Mouse,$30
2025-05-12,122,P001,Wireless Headphones,$100
2025-05-12,123,P009,Smartphone,$600
2025-05-12,124,P008,HDMI Cable,$15
2025-05-12,125,P010,External Hard Drive,$100
2025-05-12,126,P001,Wireless Headphones,$100
2025-05-12,127,P007,Laptop Stand,$40
2025-05-12,128,P001,Wireless Headphones,$100
2025-05-12,129,P002,Laptop Backpack,$60
2025-05-12,130,P009,Smartphone,$600
2025-05-12,131,P007,Laptop Stand,$40
2025-05-12,132,P003,Bluetooth Speaker,$50
2025-05-12,133,P001,Wireless Headphones,$100
2025-05-12,134,P005,Mobile Phone Case,$15
2025-05-12,135,P006,Wireless Mouse,$30
2025-05-12,136,P006,Wireless Mouse,$30
2025-05-12,137,P003,Bluetooth Speaker,$50
2025-05-12,138,P006,Wireless Mouse,$30
2025-05-12,139,P002,Laptop Backpack,$60
2025-05-12,140,P001,Wireless Headphones,$100
2025-05-12,141,P010,External Hard Drive,$100
2025-05-12,142,P010,External Hard Drive,$100
2025-05-12,143,P003,Bluetooth Speaker,$50
2025-05-12,144,P003,Bluetooth Speaker,$50
2025-05-12,145,P010,External Hard Drive,$100
2025-05-12,146,P001,Wireless Headphones,$100
2025-05-12,147,P004,USB Flash Drive,$20
2025-05-12,148,P002,Laptop Backpack,$60
2025-05-12,149,P008,HDMI Cable,$15
2025-05-12,150,P001,Wireless Headphones,$100
2025-05-12,151,P001,Wireless Headphones,$100
2025-05-12,152,P001,Wireless Headphones,$100
2025-05-12,153,P003,Bluetooth Speaker,$50
2025-05-12,154,P001,Wireless Headphones,$100
2025-05-12,155,P006,Wireless Mouse,$30
2025-05-12,156,P010,External Hard Drive,$100
2025-05-12,157,P008,HDMI Cable,$15
2025-05-12,158,P002,Laptop Backpack,$60
2025-05-12,159,P008,HDMI Cable,$15
2025-05-12,160,P003,Bluetooth Speaker,$50
2025-05-12,161,P008,HDMI Cable,$15
2025-05-12,162,P005,Mobile Phone Case,$15
2025-05-12,163,P004,USB Flash Drive,$20
2025-05-12,164,P003,Bluetooth Speaker,$50
2025-05-12,165,P005,Mobile Phone Case,$15
2025-05-12,166,P007,Laptop Stand,$40
2025-05-12,167,P010,External Hard Drive,$100
2025-05-12,168,P004,USB Flash Drive,$20
2025-05-12,169,P006,Wireless Mouse,$30
2025-05-12,170,P008,HDMI Cable,$15
2025-05-12,171,P006,Wireless Mouse,$30
2025-05-12,172,P005,Mobile Phone Case,$15
2025-05-12,173,P009,Smartphone,$600
2025-05-12,174,P007,Laptop Stand,$40
2025-05-12,175,P001,Wireless Headphones,$100
2025-05-12,176,P008,HDMI Cable,$15
2025-05-12,177,P009,Smartphone,$600
2025-05-12,178,P001,Wireless Headphones,$100
2025-05-12,179,P001,Wireless Headphones,$100
2025-05-12,180,P003,Bluetooth Speaker,$50
2025-05-12,181,P006,Wireless Mouse,$30
2025-05-12,182,P006,Wireless Mouse,$30
2025-05-12,183,P001,Wireless Headphones,$100
2025-05-12,184,P004,USB Flash Drive,$20
2025-05-12,185,P008,HDMI Cable,$15
2025-05-12,186,P001,Wireless Headphones,$100
2025-05-12,187,P007,Laptop Stand,$40
2025-05-12,188,P004,USB Flash Drive,$20
2025-05-12,189,P001,Wireless Headphones,$100
2025-05-12,190,P001,Wireless Headphones,$100
2025-05-12,191,P006,Wireless Mouse,$30
2025-05-12,192,P009,Smartphone,$600
2025-05-12,193,P004,USB Flash Drive,$20
2025-05-12,194,P004,USB Flash Drive,$20
2025-05-12,195,P008,HDMI Cable,$15
2025-05-12,196,P002,Laptop Backpack,$60
2025-05-12,197,P006,Wireless Mouse,$30
2025-05-12,198,P008,HDMI Cable,$15
2025-05-12,199,P006,Wireless Mouse,$30
2025-05-12,200,P003,Bluetooth Speaker,$50
2025-05-12,201,P001,Wireless Headphones,$100
2025-05-12,202,P004,USB Flash Drive,$20
2025-05-12,203,P004,USB Flash Drive,$20
2025-05-12,204,P002,Laptop Backpack,$60
2025-05-12,205,P006,Wireless Mouse,$30
2025-05-12,206,P004,USB Flash Drive,$20
2025-05-12,207,P001,Wireless Headphones,$100
2025-05-12,208,P005,Mobile Phone Case,$15
2025-05-12,209,P002,Laptop Backpack,$60
2025-05-12,210,P006,Wireless Mouse,$30
2025-05-12,211,P003,Bluetooth Speaker,$50
2025-05-12,212,P001,Wireless Headphones,$100
2025-05-12,213,P003,Bluetooth Speaker,$50
2025-05-12,214,P003,Bluetooth Speaker,$50
2025-05-12,215,P009,Smartphone,$600
2025-05-12,216,P008,HDMI Cable,$15
2025-05-12,217,P010,External Hard Drive,$100
2025-05-12,218,P006,Wireless Mouse,$30
2025-05-12,219,P005,Mobile Phone Case,$15
2025-05-12,220,P010,External Hard Drive,$100
2025-05-12,221,P002,Laptop Backpack,$60
2025-05-12,222,P005,Mobile Phone Case,$15
2025-05-12,223,P010,External Hard Drive,$100
2025-05-12,224,P004,USB Flash Drive,$20
2025-05-12,225,P002,Laptop Backpack,$60
2025-05-12,226,P007,Laptop Stand,$40
2025-05-12,227,P010,External Hard Drive,$100
2025-05-12,228,P009,Smartphone,$600
2025-05-12,229,P009,Smartphone,$600
2025-05-12,230,P004,USB Flash Drive,$20
2025-05-12,231,P008,HDMI Cable,$15
2025-05-12,232,P004,USB Flash Drive,$20
2025-05-12,233,P005,Mobile Phone Case,$15
2025-05-12,234,P001,Wireless Headphones,$100
2025-05-12,235,P007,Laptop Stand,$40
2025-05-12,236,P006,Wireless Mouse,$30
2025-05-12,237,P001,Wireless Headphones,$100
2025-05-12,238,P001,Wireless Headphones,$100
2025-05-12,239,P006,Wireless Mouse,$30
2025-05-12,240,P003,Bluetooth Speaker,$50
2025-05-12,241,P005,Mobile Phone Case,$15
2025-05-12,242,P003,Bluetooth Speaker,$50
2025-05-12,243,P006,Wireless Mouse,$30
2025-05-12,244,P006,Wireless Mouse,$30
2025-05-12,245,P003,Bluetooth Speaker,$50
2025-05-12,246,P002,Laptop Backpack,$60
2025-05-12,247,P006,Wireless Mouse,$30
2025-05-12,248,P009,Smartphone,$600
2025-05-12,249,P001,Wireless Headphones,$100
2025-05-12,250,P004,USB Flash Drive,$20
2025-05-12,251,P009,Smartphone,$600
2025-05-12,252,P001,Wireless Headphones,$100
2025-05-12,253,P008,HDMI Cable,$15
2025-05-12,254,P008,HDMI Cable,$15
2025-05-12,255,P002,Laptop Backpack,$60
2025-05-12,256,P008,HDMI Cable,$15
2025-05-12,257,P002,Laptop Backpack,$60
2025-05-12,258,P008,HDMI Cable,$15
2025-05-12,259,P003,Bluetooth Speaker,$50
2025-05-12,260,P007,Laptop Stand,$40
2025-05-12,261,P003,Bluetooth Speaker,$50
2025-05-12,262,P001,Wireless Headphones,$100
